,name,rating,reviews,price,brand
73,Generic 2 In 1 Double Sided Control Hair Brush Comb,4.4 out of 5,(20 ratings),KSh 847,Generic
74,Generic SHIDISHANGPIN 3 Pairs Mink Eyelashes 3D False Lashes Mix Style Thick Makeup Eyelash Extension Natural Volume Soft Fake Eye Lashes,4.8 out of 5,(5 ratings),"KSh 1,019",Generic
75,Generic Fashion Magnetic Lashes Reusable 3D False Eyelashes Tweezers Set Eyelashes No Glue Needed Cosmetics Eye Decoration Magnet Eyelashes,4.3 out of 5,(11 ratings),KSh 990,Generic
76,Zaron Foundation Brush,4.5 out of 5,(2 ratings),"KSh 1,750",Zaron
77,Estee Lauder Perfectly Clean TripleAction Cleanser/Toner/Makeup Remover 150ml,0 out of 5,(No ratings available),"KSh 5,200",Estee Lauder
78,Generic Silicone Makeup Brush Cleaner Pad Washing Scrubber Board Cleaning Mat Hand Tool,5 out of 5,(3 ratings),KSh 495,Generic
79,Estee Lauder Take It Away Makeup Remover Lotion 200ml,0 out of 5,(No ratings available),"KSh 5,700",Estee Lauder
80,Fashion 20Pcs Makeup Brushes,4 out of 5,(5 ratings),"KSh 1,099",Fashion
81,Generic SHIDISHANGPIN 3 Pairs 3D Mink Eyelashes Handmade Natural Cross Long Fake Eye Lashes Extension Wispy False Lashes,4.7 out of 5,(3 ratings),"KSh 1,017",Generic
82,Generic 1Pcs Silicone Makeup Brush Facial Mask Foundation Brush Cosmetic Brush Make Up Tool Optional Color,5 out of 5,(2 ratings),KSh 246,Generic
83,Generic Mini Metal Adjustable Creative Tool Wrench Spanner Key Chain Ring Keyring Silver,5 out of 5,(2 ratings),KSh 942,Generic
84,Estee Lauder Gentle Eye Makeup Remover 100ml,0 out of 5,(No ratings available),"KSh 5,100",Estee Lauder
85,Generic Universal 20Pcs Makeup Brush Foundation Brush Tool,0 out of 5,(No ratings available),KSh 378,Generic
86,Tippys Round Make Up Cotton Pads 120's,5 out of 5,(2 ratings),"KSh 1,160",Tippys
87,Generic Makeup Sponge Beauty Blender Foundation Sponge (3Pcs),4 out of 5,(1 rating),KSh 225,Generic
88,Fashion 3 Reusable Eyebrow Shaping Stencils Template,3.7 out of 5,(12 ratings),KSh 108,Fashion
